asset1,asset2,corr_leader,corr_follower,corr_lag,correlation,abs_correlation,leader_category,follower_category
C.US,EWS.US,C.US,EWS.US,2,0.1428555042511584,0.1428555042511584,finance,intl_emerging
XLF.US,DIA.US,XLF.US,DIA.US,1,-0.1427366468377453,0.1427366468377453,sector_etfs,broad_market
BA.US,PEP.US,BA.US,PEP.US,2,0.14268505381058108,0.14268505381058108,industrials,consumer
EWS.US,INDA.US,EWS.US,INDA.US,1,-0.1425451107946431,0.1425451107946431,intl_emerging,intl_emerging
WFC.US,EWU.US,WFC.US,EWU.US,2,0.1425274061262733,0.1425274061262733,finance,intl_developed
XLE.US,XLU.US,XLE.US,XLU.US,2,0.14236214070857367,0.14236214070857367,sector_etfs,sector_etfs
C.US,DIA.US,C.US,DIA.US,2,0.14234617930981727,0.14234617930981727,finance,broad_market
EWG.US,INDA.US,EWG.US,INDA.US,2,0.14230264475176804,0.14230264475176804,intl_developed,intl_emerging
QQQ.US,VTI.US,VTI.US,QQQ.US,1,-0.1421390000338174,0.1421390000338174,broad_market,broad_market
COP.US,INDA.US,INDA.US,COP.US,1,-0.14213891594751582,0.14213891594751582,energy,intl_emerging
PEP.US,QQQ.US,PEP.US,QQQ.US,1,-0.1421272439964172,0.1421272439964172,consumer,broad_market
C.US,INDA.US,C.US,INDA.US,1,-0.14207362482903454,0.14207362482903454,finance,intl_emerging
BAC.US,XLP.US,BAC.US,XLP.US,2,0.1420215792168686,0.1420215792168686,finance,sector_etfs
PEP.US,XLU.US,XLU.US,PEP.US,1,-0.1418823489645162,0.1418823489645162,consumer,sector_etfs
XLP.US,SPY.US,XLP.US,SPY.US,1,-0.14175128821441654,0.14175128821441654,sector_etfs,broad_market
MSFT.US,VWO.US,VWO.US,MSFT.US,1,-0.14174689385903463,0.14174689385903463,tech_mega,intl_emerging
CVX.US,XLV.US,XLV.US,CVX.US,1,-0.14168327013730136,0.14168327013730136,energy,sector_etfs
PG.US,INDA.US,PG.US,INDA.US,1,-0.14164187208495138,0.14164187208495138,consumer,intl_emerging
HYG.US,EMB.US,EMB.US,HYG.US,3,0.14141465473231285,0.14141465473231285,fixed_income,fixed_income
EWZ.US,SPY.US,SPY.US,EWZ.US,1,-0.14119004699417106,0.14119004699417106,intl_emerging,broad_market
MS.US,VWO.US,MS.US,VWO.US,2,0.14114810361259894,0.14114810361259894,finance,intl_emerging
XLP.US,EWY.US,XLP.US,EWY.US,1,-0.14106478435102754,0.14106478435102754,sector_etfs,intl_emerging
XLV.US,EWQ.US,EWQ.US,XLV.US,2,0.14101063253604032,0.14101063253604032,sector_etfs,intl_developed
VWO.US,SPY.US,SPY.US,VWO.US,1,-0.14088049534143357,0.14088049534143357,intl_emerging,broad_market
XLF.US,HYG.US,XLF.US,HYG.US,2,0.14081638864597085,0.14081638864597085,sector_etfs,fixed_income
JPM.US,VTI.US,JPM.US,VTI.US,2,0.14069702130946854,0.14069702130946854,finance,broad_market
JPM.US,EWA.US,JPM.US,EWA.US,2,0.14066633500836492,0.14066633500836492,finance,intl_developed
PEP.US,EWU.US,PEP.US,EWU.US,1,-0.14060139026480045,0.14060139026480045,consumer,intl_developed
PG.US,EWU.US,PG.US,EWU.US,1,-0.14054379007553683,0.14054379007553683,consumer,intl_developed
MSFT.US,JNJ.US,JNJ.US,MSFT.US,1,-0.1405396311922249,0.1405396311922249,tech_mega,healthcare
MCD.US,HYG.US,MCD.US,HYG.US,2,0.14051043308016514,0.14051043308016514,consumer,fixed_income
AAPL.US,EWZ.US,AAPL.US,EWZ.US,1,-0.1403228010024306,0.1403228010024306,tech_mega,intl_emerging
JPM.US,MRK.US,MRK.US,JPM.US,1,-0.14026439419842054,0.14026439419842054,finance,healthcare
PG.US,DIA.US,PG.US,DIA.US,1,-0.14019430361497914,0.14019430361497914,consumer,broad_market
CVX.US,EWG.US,EWG.US,CVX.US,2,0.1401505673733108,0.1401505673733108,energy,intl_developed
MCD.US,XLK.US,MCD.US,XLK.US,1,-0.14008653326326984,0.14008653326326984,consumer,sector_etfs
